series_id,trend_type,lot_id,wafer_id,equipment_id,process_step,sensor_name,target,sigma,anomaly_start,detail
single_spike_ignore_020,single_spike_ignore,LOT-2026-0060,W22,EQP-09,ION_IMPLANT,etch_rate_nm_min,98.596,0.814,15,one isolated control-limit breach; recovery follows
single_spike_ignore_021,single_spike_ignore,LOT-2026-0061,W24,EQP-03,METROLOGY,particle_count,99.131,1.239,13,one isolated control-limit breach; recovery follows
single_spike_ignore_022,single_spike_ignore,LOT-2026-0062,W14,EQP-05,METROLOGY,film_thickness_nm,99.391,1.018,16,one isolated control-limit breach; recovery follows
single_spike_ignore_023,single_spike_ignore,LOT-2026-0063,W04,EQP-04,PHOTO,rf_power_w,99.214,1.330,14,one isolated control-limit breach; recovery follows
single_spike_ignore_024,single_spike_ignore,LOT-2026-0064,W18,EQP-05,PHOTO,rf_power_w,100.435,0.968,15,one isolated control-limit breach; recovery follows
single_spike_ignore_025,single_spike_ignore,LOT-2026-0065,W05,EQP-09,ETCH,chamber_pressure_mTorr,99.463,1.288,14,one isolated control-limit breach; recovery follows
single_spike_ignore_026,single_spike_ignore,LOT-2026-0066,W14,EQP-10,PVD,etch_rate_nm_min,99.549,0.925,13,one isolated control-limit breach; recovery follows
single_spike_ignore_027,single_spike_ignore,LOT-2026-0067,W17,EQP-10,PVD,critical_dimension_nm,100.046,0.851,12,one isolated control-limit breach; recovery follows
single_spike_ignore_028,single_spike_ignore,LOT-2026-0068,W20,EQP-08,PVD,film_thickness_nm,99.101,1.041,14,one isolated control-limit breach; recovery follows
single_spike_ignore_029,single_spike_ignore,LOT-2026-0069,W23,EQP-07,DIFFUSION,etch_rate_nm_min,99.081,0.907,13,one isolated control-limit breach; recovery follows
single_spike_ignore_030,single_spike_ignore,LOT-2026-0070,W09,EQP-06,DIFFUSION,chamber_pressure_mTorr,98.899,0.837,14,one isolated control-limit breach; recovery follows
single_spike_ignore_031,single_spike_ignore,LOT-2026-0071,W04,EQP-05,CMP,overlay_error_nm,101.445,1.073,12,one isolated control-limit breach; recovery follows
single_spike_ignore_032,single_spike_ignore,LOT-2026-0072,W11,EQP-03,METROLOGY,particle_count,98.871,1.171,14,one isolated control-limit breach; recovery follows
single_spike_ignore_033,single_spike_ignore,LOT-2026-0073,W25,EQP-05,PVD,particle_count,100.113,1.028,14,one isolated control-limit breach; recovery follows
single_spike_ignore_034,single_spike_ignore,LOT-2026-0074,W10,EQP-07,METROLOGY,particle_count,99.547,1.099,17,one isolated control-limit breach; recovery follows
single_spike_ignore_035,single_spike_ignore,LOT-2026-0075,W09,EQP-06,CMP,film_thickness_nm,100.755,1.061,13,one isolated control-limit breach; recovery follows
single_spike_ignore_036,single_spike_ignore,LOT-2026-0076,W09,EQP-03,ETCH,temperature_c,100.601,0.796,12,one isolated control-limit breach; recovery follows
single_spike_ignore_037,single_spike_ignore,LOT-2026-0077,W08,EQP-10,DIFFUSION,chamber_pressure_mTorr,100.023,0.825,12,one isolated control-limit breach; recovery follows
single_spike_ignore_038,single_spike_ignore,LOT-2026-0078,W11,EQP-12,METROLOGY,rf_power_w,99.695,1.265,16,one isolated control-limit breach; recovery follows
single_spike_ignore_039,single_spike_ignore,LOT-2026-0079,W06,EQP-01,ION_IMPLANT,temperature_c,100.413,0.937,17,one isolated control-limit breach; recovery follows
single_spike_ignore_040,single_spike_ignore,LOT-2026-0080,W06,EQP-09,DIFFUSION,overlay_error_nm,100.982,1.242,12,one isolated control-limit breach; recovery follows
critical_spike_001,critical_spike,LOT-2026-0081,W15,EQP-06,PHOTO,film_thickness_nm,100.571,1.102,15,2 large excursions beyond critical threshold
critical_spike_002,critical_spike,LOT-2026-0082,W03,EQP-11,PVD,chamber_pressure_mTorr,99.002,1.332,16,2 large excursions beyond critical threshold
critical_spike_003,critical_spike,LOT-2026-0083,W16,EQP-06,CMP,chamber_pressure_mTorr,99.813,1.137,14,2 large excursions beyond critical threshold
critical_spike_004,critical_spike,LOT-2026-0084,W08,EQP-11,ETCH,etch_rate_nm_min,98.990,0.863,12,2 large excursions beyond critical threshold
critical_spike_005,critical_spike,LOT-2026-0085,W23,EQP-08,CVD,overlay_error_nm,99.669,0.760,15,3 large excursions beyond critical threshold
critical_spike_006,critical_spike,LOT-2026-0086,W11,EQP-05,PVD,overlay_error_nm,101.125,1.308,13,2 large excursions beyond critical threshold
critical_spike_007,critical_spike,LOT-2026-0087,W24,EQP-09,CMP,rf_power_w,99.204,0.851,15,2 large excursions beyond critical threshold
critical_spike_008,critical_spike,LOT-2026-0088,W11,EQP-12,ION_IMPLANT,overlay_error_nm,100.752,0.914,17,3 large excursions beyond critical threshold
critical_spike_009,critical_spike,LOT-2026-0089,W12,EQP-10,DIFFUSION,overlay_error_nm,100.091,0.760,16,2 large excursions beyond critical threshold
critical_spike_010,critical_spike,LOT-2026-0090,W11,EQP-01,CMP,critical_dimension_nm,99.764,1.240,13,3 large excursions beyond critical threshold
critical_spike_011,critical_spike,LOT-2026-0091,W20,EQP-06,METROLOGY,critical_dimension_nm,100.036,1.081,15,2 large excursions beyond critical threshold
critical_spike_012,critical_spike,LOT-2026-0092,W18,EQP-03,CMP,chamber_pressure_mTorr,98.603,1.109,16,3 large excursions beyond critical threshold
critical_spike_013,critical_spike,LOT-2026-0093,W06,EQP-02,METROLOGY,chamber_pressure_mTorr,101.103,0.809,12,2 large excursions beyond critical threshold
critical_spike_014,critical_spike,LOT-2026-0094,W18,EQP-12,PHOTO,film_thickness_nm,99.409,0.786,14,3 large excursions beyond critical threshold
critical_spike_015,critical_spike,LOT-2026-0095,W07,EQP-05,DIFFUSION,particle_count,100.079,1.192,16,3 large excursions beyond critical threshold
critical_spike_016,critical_spike,LOT-2026-0096,W03,EQP-03,PVD,rf_power_w,99.054,0.753,17,3 large excursions beyond critical threshold
critical_spike_017,critical_spike,LOT-2026-0097,W24,EQP-12,METROLOGY,etch_rate_nm_min,100.808,1.307,12,3 large excursions beyond critical threshold
critical_spike_018,critical_spike,LOT-2026-0098,W13,EQP-11,METROLOGY,etch_rate_nm_min,99.038,1.140,17,2 large excursions beyond critical threshold
critical_spike_019,critical_spike,LOT-2026-0099,W05,EQP-06,PHOTO,rf_power_w,101.249,1.246,17,2 large excursions beyond critical threshold
critical_spike_020,critical_spike,LOT-2026-0100,W24,EQP-09,PHOTO,particle_count,100.405,1.052,16,3 large excursions beyond critical threshold
critical_spike_021,critical_spike,LOT-2026-0101,W15,EQP-07,ION_IMPLANT,critical_dimension_nm,101.414,1.210,12,3 large excursions beyond critical threshold
critical_spike_022,critical_spike,LOT-2026-0102,W22,EQP-09,ETCH,critical_dimension_nm,99.363,1.103,12,2 large excursions beyond critical threshold
critical_spike_023,critical_spike,LOT-2026-0103,W17,EQP-11,METROLOGY,particle_count,98.701,0.778,15,3 large excursions beyond critical threshold
critical_spike_024,critical_spike,LOT-2026-0104,W17,EQP-01,CVD,rf_power_w,101.370,1.086,16,2 large excursions beyond critical threshold
critical_spike_025,critical_spike,LOT-2026-0105,W10,EQP-07,METROLOGY,rf_power_w,99.977,1.168,17,3 large excursions beyond critical threshold
critical_spike_026,critical_spike,LOT-2026-0106,W24,EQP-06,CVD,particle_count,100.225,1.169,16,3 large excursions beyond critical threshold
critical_spike_027,critical_spike,LOT-2026-0107,W18,EQP-11,CMP,temperature_c,101.388,1.084,13,3 large excursions beyond critical threshold
critical_spike_028,critical_spike,LOT-2026-0108,W04,EQP-08,METROLOGY,temperature_c,99.995,1.273,16,2 large excursions beyond critical threshold
critical_spike_029,critical_spike,LOT-2026-0109,W04,EQP-12,DIFFUSION,chamber_pressure_mTorr,100.636,1.040,16,2 large excursions beyond critical threshold
critical_spike_030,critical_spike,LOT-2026-0110,W05,EQP-12,DIFFUSION,overlay_error_nm,99.645,0.855,16,2 large excursions beyond critical threshold
critical_spike_031,critical_spike,LOT-2026-0111,W11,EQP-03,DIFFUSION,rf_power_w,99.283,1.346,12,2 large excursions beyond critical threshold
critical_spike_032,critical_spike,LOT-2026-0112,W02,EQP-04,ION_IMPLANT,chamber_pressure_mTorr,99.555,1.086,15,3 large excursions beyond critical threshold
critical_spike_033,critical_spike,LOT-2026-0113,W11,EQP-03,CVD,temperature_c,98.623,1.209,15,2 large excursions beyond critical threshold
critical_spike_034,critical_spike,LOT-2026-0114,W02,EQP-04,PHOTO,temperature_c,101.224,0.765,15,3 large excursions beyond critical threshold
critical_spike_035,critical_spike,LOT-2026-0115,W07,EQP-11,ETCH,overlay_error_nm,101.071,1.239,17,2 large excursions beyond critical threshold
critical_spike_036,critical_spike,LOT-2026-0116,W22,EQP-04,CVD,film_thickness_nm,99.808,1.042,14,3 large excursions beyond critical threshold
critical_spike_037,critical_spike,LOT-2026-0117,W06,EQP-02,METROLOGY,chamber_pressure_mTorr,101.146,0.894,12,2 large excursions beyond critical threshold
critical_spike_038,critical_spike,LOT-2026-0118,W02,EQP-07,ETCH,rf_power_w,99.599,1.197,12,3 large excursions beyond critical threshold
critical_spike_039,critical_spike,LOT-2026-0119,W19,EQP-04,ETCH,particle_count,100.430,1.054,12,2 large excursions beyond critical threshold
critical_spike_040,critical_spike,LOT-2026-0120,W24,EQP-11,PVD,rf_power_w,99.253,1.346,15,2 large excursions beyond critical threshold
persistent_high_001,persistent_high,LOT-2026-0121,W12,EQP-10,DIFFUSION,overlay_error_nm,99.777,0.773,15,sustained high-side control-limit breach
persistent_high_002,persistent_high,LOT-2026-0122,W09,EQP-07,METROLOGY,temperature_c,98.507,0.776,14,sustained high-side control-limit breach
persistent_high_003,persistent_high,LOT-2026-0123,W02,EQP-07,PVD,particle_count,99.388,1.112,17,sustained high-side control-limit breach
persistent_high_004,persistent_high,LOT-2026-0124,W25,EQP-04,ION_IMPLANT,chamber_pressure_mTorr,100.549,0.875,15,sustained high-side control-limit breach
persistent_high_005,persistent_high,LOT-2026-0125,W15,EQP-04,PVD,chamber_pressure_mTorr,99.503,0.943,15,sustained high-side control-limit breach
persistent_high_006,persistent_high,LOT-2026-0126,W16,EQP-08,CMP,rf_power_w,99.977,1.164,12,sustained high-side control-limit breach
persistent_high_007,persistent_high,LOT-2026-0127,W11,EQP-03,ION_IMPLANT,etch_rate_nm_min,98.780,1.045,14,sustained high-side control-limit breach
persistent_high_008,persistent_high,LOT-2026-0128,W07,EQP-10,ETCH,chamber_pressure_mTorr,100.011,1.217,13,sustained high-side control-limit breach
persistent_high_009,persistent_high,LOT-2026-0129,W13,EQP-12,METROLOGY,particle_count,100.315,0.934,12,sustained high-side control-limit breach
persistent_high_010,persistent_high,LOT-2026-0130,W19,EQP-12,ETCH,rf_power_w,100.077,1.040,13,sustained high-side control-limit breach
persistent_high_011,persistent_high,LOT-2026-0131,W21,EQP-10,ETCH,overlay_error_nm,99.061,1.097,16,sustained high-side control-limit breach
persistent_high_012,persistent_high,LOT-2026-0132,W06,EQP-06,METROLOGY,particle_count,100.147,1.203,17,sustained high-side control-limit breach
persistent_high_013,persistent_high,LOT-2026-0133,W04,EQP-04,ION_IMPLANT,film_thickness_nm,99.201,1.204,16,sustained high-side control-limit breach
persistent_high_014,persistent_high,LOT-2026-0134,W25,EQP-06,PVD,rf_power_w,99.365,0.887,13,sustained high-side control-limit breach
persistent_high_015,persistent_high,LOT-2026-0135,W01,EQP-10,PVD,film_thickness_nm,101.384,1.335,17,sustained high-side control-limit breach
persistent_high_016,persistent_high,LOT-2026-0136,W02,EQP-02,ETCH,overlay_error_nm,100.850,1.276,17,sustained high-side control-limit breach
persistent_high_017,persistent_high,LOT-2026-0137,W18,EQP-12,DIFFUSION,particle_count,98.934,1.289,12,sustained high-side control-limit breach
persistent_high_018,persistent_high,LOT-2026-0138,W14,EQP-06,ION_IMPLANT,etch_rate_nm_min,98.683,1.034,16,sustained high-side control-limit breach
persistent_high_019,persistent_high,LOT-2026-0139,W12,EQP-03,ION_IMPLANT,etch_rate_nm_min,101.332,0.865,12,sustained high-side control-limit breach
persistent_high_020,persistent_high,LOT-2026-0140,W08,EQP-09,PVD,temperature_c,98.649,1.232,13,sustained high-side control-limit breach
persistent_high_021,persistent_high,LOT-2026-0141,W09,EQP-08,PVD,particle_count,101.143,1.295,15,sustained high-side control-limit breach
persistent_high_022,persistent_high,LOT-2026-0142,W10,EQP-09,DIFFUSION,film_thickness_nm,100.400,1.268,17,sustained high-side control-limit breach
persistent_high_023,persistent_high,LOT-2026-0143,W04,EQP-05,METROLOGY,etch_rate_nm_min,99.868,0.834,12,sustained high-side control-limit breach
persistent_high_024,persistent_high,LOT-2026-0144,W17,EQP-10,DIFFUSION,temperature_c,99.928,1.235,12,sustained high-side control-limit breach
persistent_high_025,persistent_high,LOT-2026-0145,W08,EQP-07,ION_IMPLANT,rf_power_w,101.099,0.831,17,sustained high-side control-limit breach
persistent_high_026,persistent_high,LOT-2026-0146,W04,EQP-02,PHOTO,film_thickness_nm,101.242,1.127,15,sustained high-side control-limit breach
persistent_high_027,persistent_high,LOT-2026-0147,W01,EQP-02,DIFFUSION,critical_dimension_nm,99.804,0.804,16,sustained high-side control-limit breach
persistent_high_028,persistent_high,LOT-2026-0148,W07,EQP-02,PVD,critical_dimension_nm,98.946,0.917,13,sustained high-side control-limit breach
persistent_high_029,persistent_high,LOT-2026-0149,W12,EQP-12,PVD,temperature_c,100.419,1.006,15,sustained high-side control-limit breach
persistent_high_030,persistent_high,LOT-2026-0150,W14,EQP-12,DIFFUSION,rf_power_w,101.243,0.954,14,sustained high-side control-limit breach
persistent_high_031,persistent_high,LOT-2026-0151,W24,EQP-04,CMP,overlay_error_nm,100.069,0.816,12,sustained high-side control-limit breach
persistent_high_032,persistent_high,LOT-2026-0152,W23,EQP-06,PHOTO,chamber_pressure_mTorr,99.946,1.222,17,sustained high-side control-limit breach
persistent_high_033,persistent_high,LOT-2026-0153,W24,EQP-01,CVD,critical_dimension_nm,99.674,1.172,16,sustained high-side control-limit breach
persistent_high_034,persistent_high,LOT-2026-0154,W05,EQP-01,ETCH,temperature_c,99.871,1.258,17,sustained high-side control-limit breach
persistent_high_035,persistent_high,LOT-2026-0155,W06,EQP-01,CVD,chamber_pressure_mTorr,100.713,0.835,14,sustained high-side control-limit breach
persistent_high_036,persistent_high,LOT-2026-0156,W06,EQP-08,CMP,chamber_pressure_mTorr,98.996,0.932,13,sustained high-side control-limit breach
persistent_high_037,persistent_high,LOT-2026-0157,W01,EQP-03,ETCH,etch_rate_nm_min,98.526,0.882,17,sustained high-side control-limit breach
persistent_high_038,persistent_high,LOT-2026-0158,W25,EQP-02,PHOTO,etch_rate_nm_min,101.384,1.287,17,sustained high-side control-limit breach
persistent_high_039,persistent_high,LOT-2026-0159,W17,EQP-08,PVD,critical_dimension_nm,101.347,1.009,16,sustained high-side control-limit breach
persistent_high_040,persistent_high,LOT-2026-0160,W15,EQP-04,ION_IMPLANT,chamber_pressure_mTorr,99.444,0.765,12,sustained high-side control-limit breach
persistent_low_001,persistent_low,LOT-2026-0161,W16,EQP-04,DIFFUSION,temperature_c,101.042,1.024,16,sustained low-side control-limit breach
persistent_low_002,persistent_low,LOT-2026-0162,W09,EQP-04,DIFFUSION,film_thickness_nm,99.454,0.848,13,sustained low-side control-limit breach
persistent_low_003,persistent_low,LOT-2026-0163,W08,EQP-08,ETCH,particle_count,99.140,0.853,17,sustained low-side control-limit breach
persistent_low_004,persistent_low,LOT-2026-0164,W10,EQP-02,DIFFUSION,rf_power_w,100.986,1.231,12,sustained low-side control-limit breach
persistent_low_005,persistent_low,LOT-2026-0165,W25,EQP-04,DIFFUSION,chamber_pressure_mTorr,100.057,0.752,15,sustained low-side control-limit breach
persistent_low_006,persistent_low,LOT-2026-0166,W23,EQP-10,CMP,chamber_pressure_mTorr,100.197,0.936,13,sustained low-side control-limit breach
persistent_low_007,persistent_low,LOT-2026-0167,W02,EQP-06,CVD,temperature_c,100.298,1.159,13,sustained low-side control-limit breach
persistent_low_008,persistent_low,LOT-2026-0168,W12,EQP-05,CVD,critical_dimension_nm,99.040,0.883,17,sustained low-side control-limit breach
persistent_low_009,persistent_low,LOT-2026-0169,W01,EQP-04,ION_IMPLANT,overlay_error_nm,100.826,1.033,14,sustained low-side control-limit breach
persistent_low_010,persistent_low,LOT-2026-0170,W01,EQP-01,METROLOGY,chamber_pressure_mTorr,98.884,1.121,14,sustained low-side control-limit breach
persistent_low_011,persistent_low,LOT-2026-0171,W02,EQP-12,ION_IMPLANT,film_thickness_nm,101.484,1.289,15,sustained low-side control-limit breach
persistent_low_012,persistent_low,LOT-2026-0172,W17,EQP-10,CVD,critical_dimension_nm,101.167,1.213,13,sustained low-side control-limit breach
persistent_low_013,persistent_low,LOT-2026-0173,W25,EQP-01,METROLOGY,chamber_pressure_mTorr,99.838,1.134,15,sustained low-side control-limit breach
persistent_low_014,persistent_low,LOT-2026-0174,W15,EQP-09,METROLOGY,etch_rate_nm_min,100.797,1.287,14,sustained low-side control-limit breach
persistent_low_015,persistent_low,LOT-2026-0175,W06,EQP-06,CMP,film_thickness_nm,100.997,0.982,16,sustained low-side control-limit breach
persistent_low_016,persistent_low,LOT-2026-0176,W25,EQP-09,ETCH,film_thickness_nm,99.667,1.207,13,sustained low-side control-limit breach
persistent_low_017,persistent_low,LOT-2026-0177,W25,EQP-06,DIFFUSION,film_thickness_nm,100.037,1.104,14,sustained low-side control-limit breach
persistent_low_018,persistent_low,LOT-2026-0178,W10,EQP-01,ETCH,chamber_pressure_mTorr,99.538,1.120,13,sustained low-side control-limit breach
persistent_low_019,persistent_low,LOT-2026-0179,W05,EQP-02,PHOTO,particle_count,101.429,0.890,13,sustained low-side control-limit breach
persistent_low_020,persistent_low,LOT-2026-0180,W14,EQP-02,CVD,film_thickness_nm,101.128,1.152,13,sustained low-side control-limit breach
persistent_low_021,persistent_low,LOT-2026-0181,W09,EQP-03,CMP,critical_dimension_nm,100.767,1.062,15,sustained low-side control-limit breach
persistent_low_022,persistent_low,LOT-2026-0182,W20,EQP-10,DIFFUSION,overlay_error_nm,100.043,0.932,13,sustained low-side control-limit breach
persistent_low_023,persistent_low,LOT-2026-0183,W12,EQP-05,PVD,rf_power_w,100.247,0.862,13,sustained low-side control-limit breach
persistent_low_024,persistent_low,LOT-2026-0184,W04,EQP-04,PHOTO,film_thickness_nm,100.843,1.059,15,sustained low-side control-limit breach
persistent_low_025,persistent_low,LOT-2026-0185,W08,EQP-12,ETCH,particle_count,98.627,1.017,14,sustained low-side control-limit breach
persistent_low_026,persistent_low,LOT-2026-0186,W16,EQP-07,METROLOGY,chamber_pressure_mTorr,100.743,0.964,15,sustained low-side control-limit breach
persistent_low_027,persistent_low,LOT-2026-0187,W06,EQP-05,PHOTO,temperature_c,100.983,1.009,16,sustained low-side control-limit breach
persistent_low_028,persistent_low,LOT-2026-0188,W11,EQP-01,DIFFUSION,overlay_error_nm,99.352,1.119,14,sustained low-side control-limit breach
persistent_low_029,persistent_low,LOT-2026-0189,W21,EQP-02,METROLOGY,chamber_pressure_mTorr,100.923,1.161,16,sustained low-side control-limit breach
persistent_low_030,persistent_low,LOT-2026-0190,W25,EQP-03,PHOTO,temperature_c,100.893,1.205,17,sustained low-side control-limit breach
persistent_low_031,persistent_low,LOT-2026-0191,W19,EQP-07,DIFFUSION,temperature_c,98.573,0.788,16,sustained low-side control-limit breach
persistent_low_032,persistent_low,LOT-2026-0192,W17,EQP-02,CMP,critical_dimension_nm,100.407,0.969,14,sustained low-side control-limit breach
persistent_low_033,persistent_low,LOT-2026-0193,W23,EQP-12,PHOTO,etch_rate_nm_min,100.985,1.223,14,sustained low-side control-limit breach
persistent_low_034,persistent_low,LOT-2026-0194,W13,EQP-08,ION_IMPLANT,temperature_c,100.334,1.293,14,sustained low-side control-limit breach
persistent_low_035,persistent_low,LOT-2026-0195,W25,EQP-10,PHOTO,overlay_error_nm,98.607,0.932,12,sustained low-side control-limit breach
persistent_low_036,persistent_low,LOT-2026-0196,W22,EQP-11,PHOTO,etch_rate_nm_min,99.551,1.104,13,sustained low-side control-limit breach
persistent_low_037,persistent_low,LOT-2026-0197,W22,EQP-04,PVD,particle_count,100.491,1.102,12,sustained low-side control-limit breach
persistent_low_038,persistent_low,LOT-2026-0198,W24,EQP-01,METROLOGY,temperature_c,99.622,0.830,13,sustained low-side control-limit breach
